Date range: 01/24/2025 - 03/27/2025,Diag version: v4.0.11.6-RC03,Cycle count 1,,Cycle count 2,,Cycle count 3,,Cycle count 4,,Cycle count 5,
FRU infos validation failure,Component  [HB16 card] SN: HABQTW243501144 not found on unit,Repair 2,"1. Verify HB16 card and PCIe cable seating:
    If properly seated, swap HB16 card and reseat PCIe cable
    If improper seating, reseat HB16 card or PCIe cable",Repair 2,"1. Verify previous repair action
2. Failure following HB16 card: Replace HB16 card
3. Failure staying on same slot: Replace PCIe cable",Debug 1,"1. Validate previous repair actions
2. Visual inspection on PCIe slot on mobo
3. Visual inspection on HB16 card and PCIe cable
4. Verify HB16 card SN is matching SFC and physical label",Debug 1,"1. Validate previous repair actions
2. Visual inspection on PCIe slot on mobo
3. Visual inspection on HB16 card and PCIe cable
4. Verify HB16 card SN is matching SFC and physical label",Debug 2,"1. Validate previous repair actions
2. Visual inspection on PCIe slot on mobo
3. Visual inspection on HB16 card and PCIe cable
4. Verify HB16 card SN is matching SFC and physical label"
FRU infos validation failure,Component [Gulp] SN: IPBFWI244608425 not found on unit,Repair 1,"1. Visual inspection on gulp connector
1.1 If no issues found, reseat gulp
1.2 If physical damage found, send to Repair 2 for mobo replacement",Repair 1,1. Replace gulp,Debug 1,"1. Verify previous repair action
2. Visual inspection on gulp and gulp connector on mobo
3. Verify gulp SN is matching SFC and physical label
4. Verify Keyparts on SFC has no issues for gulp record, report to IT",Debug 2,"1. Verify previous repair action
2. Visual inspection on gulp and gulp connector on mobo
3. Verify gulp SN is matching SFC and physical label
4. Verify Keyparts on SFC has no issues for gulp record, report to IT",Debug 2,"1. Verify previous repair action
2. Visual inspection on gulp and gulp connector on mobo
3. Verify gulp SN is matching SFC and physical label
4. Verify Keyparts on SFC has no issues for gulp record, report to IT"
FRU infos validation failure,Component [NIC card] SN: PDFCTH244003800 not found on unit,Repair 2,"1. Verify NIC card and PCIe cable seating:
1.1 If properly seated, swap NIC card and reseat PCIe cable
1.2 If improper seating, reseat NIC card or PCIe cable",Repair 2,"1. Verify previous repair action
2. Failure following NIC card: Replace NIC card
3. Failure staying on same slot: Replace PCIe cable",Debug 1,"1. Validate previous repair actions
2. Visual inspection on PCIe slot on mobo
3. Visual inspection on NIC card and PCIe cable
4. Verify NIC card SN is matching SFC and physical label",Debug 2,"1. Validate previous repair actions
2. Visual inspection on PCIe slot on mobo
3. Visual inspection on NIC card and PCIe cable
4. Verify NIC card SN is matching SFC and physical label",Debug 2,"1. Validate previous repair actions
2. Visual inspection on PCIe slot on mobo
3. Visual inspection on NIC card and PCIe cable
4. Verify NIC card SN is matching SFC and physical label"
FRU infos validation failure,Component [Warthog] SN: KW049419-96402 43915214 not found on unit,Repair 2,"1. Verify Warthog and PCIe cable seating:
1.1 If properly seated, swap Warthog and reseat PCIe cable
1.2 If improper seating, reseat warthog or PCIe cable",Repair 2,"1. Verify previous repair action
2. Failure following Warthog: Replace Warthog
3. Failure staying on same slot: Replace PCIe cable",Debug 1,"1. Validate previous repair actions
2. Visual inspection on PCIe slot on mobo
3. Visual inspection on Warthog and PCIe cable
4. Verify Warthog SN is matching SFC and physical label",Debug 2,"1. Validate previous repair actions
2. Visual inspection on PCIe slot on mobo
3. Visual inspection on Warthog and PCIe cable
4. Verify Warthog SN is matching SFC and physical label",Debug 2,"1. Validate previous repair actions
2. Visual inspection on PCIe slot on mobo
3. Visual inspection on Warthog and PCIe cable
4. Verify Warthog SN is matching SFC and physical label"
no-host-console-output,No console output for 600 seconds.,Repair 1,"1. Visual inspection on agora and gulp, as well as connectors for them on mobo
1.1 If no issues found, reseat agora and reseat gulp
2. Check front buttons on agora to be not stuck
2.1 If any button stuck, replace agora",Debug 1,"1. Validate previous repair
2. Try golden agora, try golden gulp
2.1 If bad gulp/agora detected, replace gulp/agora
2.2 If unit not working with golden parts, send to Debug 2 for further debug",Debug 2,"1. Visual inspection on mobo
2. Isolate for bad dimm",Debug 2,"1. Visual inspection on mobo
2. Isolate for bad dimm",Debug 2,"1. Visual inspection on mobo
2. Isolate for bad dimm"
The sensor count of Config_check_HW is not matched.,"Total number of sensors Expected: 180, Current: 179, device_id: , unit:  ---
 Missing:['MB OUTLET T 1,degrees C'] 
 Extra:[]",Repair 1,"1. Swap temp sensor I2COOL_0 to temp sensor I2COOL_1
2. Wipe connector terminals with alcohol
",Debug 1,"1. If failure following temp sensor, replace it
2. If failure staying on same location, verify for contamination on connector",Debug 2,1. Try new/golden temp sensor,Debug 2,1. Confirm mobo replacement,Debug 2,1. Confirm mobo replacement
The sensor count of Config_check_HW is not matched.,"Total number of sensors Expected: 180, Current: 179, device_id: , unit:  ---
 Missing:['MB OUTLET T 2,degrees C'] 
 Extra:[]",Repair 1,"1. Swap temp sensor I2COOL_1 to temp sensor I2COOL_2
2. Wipe connector terminals with alcohol",Debug 1,"1. If failure following temp sensor, replace it
2. If failure staying on same location, verify for contamination on connector",Debug 2,1. Try new/golden temp sensor,Debug 2,1. Confirm mobo replacement,Debug 2,1. Confirm mobo replacement
The sensor count of Config_check_HW is not matched.,"Total number of sensors Expected: 180, Current: 179, device_id: , unit:  ---
 Missing:['MB OUTLET T 3,degrees C'] 
 Extra:[]",Repair 1,"1. Swap temp sensor I2COOL_2 to temp sensor I2COOL_1
2. Wipe connector terminals with alcohol",Debug 1,"1. If failure following temp sensor, replace it
2. If failure staying on same location, verify for contamination on connector",Debug 2,1. Try new/golden temp sensor,Debug 2,1. Confirm mobo replacement,Debug 2,1. Confirm mobo replacement
The sensor count of Config_check_HW is not matched.,"Total number of sensors Expected: 185, Current: 180, device_id: , unit:  ---
 Missing:['P48V VIN,volts', 'HOTSWAP PIN,watts', 'HOTSWAP T,degrees C', 'P48V IOUT,amps', 'HOTSWAP T,margin C'] 
 Extra:[]",Retest,1. Retest,Repair 1,"1. Visual inspection on gulp connector
1.1 If no issues found, reseat gulp
1.2 If physical damage found, send to Repair 2 for mobo replacement",Repair 1,1. Replace Gulp,Debug 1,1. Try new/golden gulp,Debug 2,1. Confirm mobo replacement
test-completion-missing-error-maxcorestim,Diag execution failed.,Retest,1. Retest,Debug 1,"1. Look for bad dimm on 'gsys event records list' response
1.1 If no error seen for dimm, retest for 2nd time
1.2 If error seen for dimm, replace dimm directly",Debug 2,"1. Look for bad dimm on 'gsys event records list' response
1.1 If error seen, replace dimm directly
2. If unit is getting rebooted, isolate for bad dimm
3. Look for all list of symptom labels to confirm real SDC failure.
4. Look for MCE HW error related to CPU, replace mobo",Debug 2,"1. Look for bad dimm on 'gsys event records list' response
1.1 If error seen, replace dimm directly
2. If unit is getting rebooted, isolate for bad dimm
3. Look for all list of symptom labels to confirm real SDC failure.
4. Look for MCE HW error related to CPU, replace mobo",Debug 2,"1. Look for bad dimm on 'gsys event records list' response
1.1 If error seen, replace dimm directly
2. If unit is getting rebooted, isolate for bad dimm
3. Look for all list of symptom labels to confirm real SDC failure.
4. Look for MCE HW error related to CPU, replace mobo"
Diorite location validation failure,Component Diorite SN: PDFQMB244401662 not found on unit,Repair 2,"1. Verify PCIe cable for proper seating, verify NIC card for proper seating
2. Visual inspection on NIC card
2.1 If physical damage found, replace NIC card
2.2 If no physical damage found, do one of the following based on failing NIC card:
Swap PE0 to PE1 NIC card, reseat PE0 cable
Swap PE1 to PE0 NIC card, reseat PE1 cable
Swap PE6 to PE7 NIC card, reseat PE6 cable
Swap PE7 to PE6 NIC card, reseat PE7 cable",Repair 2,"1. Verify previous repair action
2. Failure following NIC card: Replace NIC card
3. Failure staying on same slot: Replace PCIe cable",Debug 1,"1. Validate previous repair actions
2. Visual inspection on PCIe socket on mobo
3. Visual inspection on NIC card and PCIe cable",Debug 2,"1. Validate previous repair actions
2. Visual inspection on PCIe socket on mobo
3. Visual inspection on NIC card and PCIe cable",Debug 2,"1. Validate previous repair actions
2. Visual inspection on PCIe socket on mobo
3. Visual inspection on NIC card and PCIe cable"
Diorite location validation failure,"Component Diorite SN PDFCTH242518402 location: PE7.IO0, expected location: PE1.IO0",Repair 2,1. Swap PE# to PE## NIC card in SFC,Debug 1,"1. Verify previous repair action
2. Verify NIC SN is matching SFC and physical label",Debug 1,"1. Verify previous repair action
2. Verify NIC SN is matching SFC and physical label",Debug 2,"1. Verify previous repair action
2. Verify NIC SN is matching SFC and physical label",Debug 2,"1. Verify previous repair action
2. Verify NIC SN is matching SFC and physical label"
Diorite PCIe link speed and width check,PCIe device link width at /phys/PE0/IO0:device:dna:lan result measured: 'x8'  (limit='x16'),Repair 2,"1. Verify PE0 PCIe cable for proper seating, verify PE0.IO0 NIC card for proper seating
1.1 Reseat NIC card or PCIe cable if finding seating issue
2. Visual inspection on NIC card and PCIe cable
2.1 If physical damage found, replace NIC card or PCIe cable
2.2 If no physical damage found, swap PE0 to PE1 NIC card, reseat PE0 cable",Repair 2,"1. Verify previous repair action
2. Failure following NIC card: Replace NIC card
3. Failure staying on same slot: Replace PCIe cable",Debug 1,"1. Validate previous repair actions
2. Visual inspection on PE0 PCIe socket on mobo, replace mobo if bent pin found
3. Visual inspection on NIC card and PCIe cable, replace NIC card or PCIe cable if physical damage found",Debug 2,"1. Validate previous repair actions
2. Visual inspection on PE0 PCIe socket on mobo, replace mobo if bent pin found
3. Visual inspection on NIC card and PCIe cable, replace NIC card or PCIe cable if physical damage found",Debug 2,"1. Validate previous repair actions
2. Visual inspection on PE0 PCIe socket on mobo, replace mobo if bent pin found
3. Visual inspection on NIC card and PCIe cable, replace NIC card or PCIe cable if physical damage found"
Diorite PCIe link speed and width check,PCIe device link width at /phys/PE1/IO0:device:dna:lan result measured: 'x8'  (limit='x16'),Repair 2,"1. Verify PE1 PCIe cable for proper seating, verify PE1.IO0 NIC card for proper seating
1.1 Reseat NIC card or PCIe cable if finding seating issue
2. Visual inspection on NIC card and PCIe cable
2.1 If physical damage found, replace NIC card or PCIe cable
2.2 If no physical damage found, swap PE1 to PE0 NIC card, reseat PE1 cable",Repair 2,"1. Verify previous repair action
2. Failure following NIC card: Replace NIC card
3. Failure staying on same slot: Replace PCIe cable",Debug 1,"1. Validate previous repair actions
2. Visual inspection on PE1 PCIe socket on mobo, replace mobo if bent pin found
3. Visual inspection on NIC card and PCIe cable, replace NIC card or PCIe cable if physical damage found",Debug 2,"1. Validate previous repair actions
2. Visual inspection on PE1 PCIe socket on mobo, replace mobo if bent pin found
3. Visual inspection on NIC card and PCIe cable, replace NIC card or PCIe cable if physical damage found",Debug 2,"1. Validate previous repair actions
2. Visual inspection on PE1 PCIe socket on mobo, replace mobo if bent pin found
3. Visual inspection on NIC card and PCIe cable, replace NIC card or PCIe cable if physical damage found"
Diorite PCIe link speed and width check,PCIe device link speed at /phys/PE6/IO0:device:dna:lan result measured: '8.0GT/s'  (limit='16.0GT/s'),Repair 2,"1. Verify PE6 PCIe cable for proper seating, verify PE6.IO0 NIC card for proper seating
1.1 Reseat NIC card or PCIe cable if finding seating issue
2. Visual inspection on NIC card and PCIe cable
2.1 If physical damage found, replace NIC card or PCIe cable
2.2 If no physical damage found, swap PE6 to PE7 NIC card, reseat PE6 cable",Repair 2,"1. Verify previous repair action
2. Failure following NIC card: Replace NIC card
3. Failure staying on same slot: Replace PCIe cable",Debug 1,"1. Validate previous repair actions
2. Visual inspection on PE6 PCIe socket on mobo, replace mobo if bent pin found
3. Visual inspection on NIC card and PCIe cable, replace NIC card or PCIe cable if physical damage found",Debug 2,"1. Validate previous repair actions
2. Visual inspection on PE6 PCIe socket on mobo, replace mobo if bent pin found
3. Visual inspection on NIC card and PCIe cable, replace NIC card or PCIe cable if physical damage found",Debug 2,"1. Validate previous repair actions
2. Visual inspection on PE6 PCIe socket on mobo, replace mobo if bent pin found
3. Visual inspection on NIC card and PCIe cable, replace NIC card or PCIe cable if physical damage found"
Diorite PCIe link speed and width check,PCIe device link speed at /phys/PE7/IO0:device:dna:lan result measured: '2.5GT/s'  (limit='16.0GT/s'),Repair 2,"1. Verify PE7 PCIe cable for proper seating, verify PE7.IO0 NIC card for proper seating
1.1 Reseat NIC card or PCIe cable if finding seating issue
2. Visual inspection on NIC card and PCIe cable
2.1 If physical damage found, replace NIC card or PCIe cable
2.2 If no physical damage found, swap PE7 to PE6 NIC card, reseat PE7 cable",Repair 2,"1. Verify previous repair action
2. Failure following NIC card: Replace NIC card
3. Failure staying on same slot: Replace PCIe cable",Debug 1,"1. Validate previous repair actions
2. Visual inspection on PE7 PCIe socket on mobo, replace mobo if bent pin found
3. Visual inspection on NIC card and PCIe cable, replace NIC card or PCIe cable if physical damage found",Debug 2,"1. Validate previous repair actions
2. Visual inspection on PE7 PCIe socket on mobo, replace mobo if bent pin found
3. Visual inspection on NIC card and PCIe cable, replace NIC card or PCIe cable if physical damage found",Debug 2,"1. Validate previous repair actions
2. Visual inspection on PE7 PCIe socket on mobo, replace mobo if bent pin found
3. Visual inspection on NIC card and PCIe cable, replace NIC card or PCIe cable if physical damage found"
Lower critical limit violated,"Got 10 violations, exceeding threshold of 0 for sensor fan0 tach.",Repair 1,"1. Verify FAN0 seating
2. Swap FAN0 to FAN1",Repair 1,"1. Verify previous repair action
2. If failure is following FAN, then replace FAN
3. If failure is staying on same slot, do visual inspection on mobo, sent to Debug 1 to confirm mobo replacement is needed",Debug 1,"1. Verify previous repair action
2. If failure is following FAN, then replace FAN
2. If failure is staying on same slot, do visual inspection on mobo
3. Confirm mobo issue",Debug 2,"1. Verify previous repair action
2. If failure is following FAN, then replace FAN
2. If failure is staying on same slot, do visual inspection on mobo
3. Confirm mobo issue",Debug 2,"1. Verify previous repair action
2. If failure is following FAN, then replace FAN
2. If failure is staying on same slot, do visual inspection on mobo
3. Confirm mobo issue"
Lower critical limit violated,"Got 10 violations, exceeding threshold of 0 for sensor fan1 tach.",Repair 1,"1. Verify FAN1 seating
2. Swap FAN1 to FAN0",Repair 1,"1. Verify previous repair action
2. If failure is following FAN, then replace FAN
3. If failure is staying on same slot, do visual inspection on mobo, sent to Debug 1 to confirm mobo replacement is needed",Debug 1,"1. Verify previous repair action
2. If failure is following FAN, then replace FAN
2. If failure is staying on same slot, do visual inspection on mobo
3. Confirm mobo issue",Debug 2,"1. Verify previous repair action
2. If failure is following FAN, then replace FAN
2. If failure is staying on same slot, do visual inspection on mobo
3. Confirm mobo issue",Debug 2,"1. Verify previous repair action
2. If failure is following FAN, then replace FAN
2. If failure is staying on same slot, do visual inspection on mobo
3. Confirm mobo issue"
Lower critical limit violated,"Got 10 violations, exceeding threshold of 0 for sensor fan2 tach.",Repair 1,"1. Verify FAN2 seating
2. Swap FAN2 to FAN3",Repair 1,"1. Verify previous repair action
2. If failure is following FAN, then replace FAN
3. If failure is staying on same slot, do visual inspection on mobo, sent to Debug 1 to confirm mobo replacement is needed",Debug 1,"1. Verify previous repair action
2. If failure is following FAN, then replace FAN
2. If failure is staying on same slot, do visual inspection on mobo
3. Confirm mobo issue",Debug 2,"1. Verify previous repair action
2. If failure is following FAN, then replace FAN
2. If failure is staying on same slot, do visual inspection on mobo
3. Confirm mobo issue",Debug 2,"1. Verify previous repair action
2. If failure is following FAN, then replace FAN
2. If failure is staying on same slot, do visual inspection on mobo
3. Confirm mobo issue"
Lower critical limit violated,"Got 10 violations, exceeding threshold of 0 for sensor fan3 tach.",Repair 1,"1. Verify FAN3 seating
2. Swap FAN3 to FAN2",Repair 1,"1. Verify previous repair action
2. If failure is following FAN, then replace FAN
3. If failure is staying on same slot, do visual inspection on mobo, sent to Debug 1 to confirm mobo replacement is needed",Debug 1,"1. Verify previous repair action
2. If failure is following FAN, then replace FAN
2. If failure is staying on same slot, do visual inspection on mobo
3. Confirm mobo issue",Debug 2,"1. Verify previous repair action
2. If failure is following FAN, then replace FAN
2. If failure is staying on same slot, do visual inspection on mobo
3. Confirm mobo issue",Debug 2,"1. Verify previous repair action
2. If failure is following FAN, then replace FAN
2. If failure is staying on same slot, do visual inspection on mobo
3. Confirm mobo issue"
Lower critical limit violated,"Got 10 violations, exceeding threshold of 0 for sensor fan4 tach.",Repair 1,"1. Visual inspection for Gulp connector on mobo
2. Reseat Gulp",Repair 1,1. Replace Gulp,Debug 1,"1. Verify previous repair action
2. Try new/golden Gulp
3. Visual inspection on Gulp connector on mobo, confirm mobo issue",Debug 2,"1. Verify previous repair action
2. Try new/golden Gulp
3. Visual inspection on Gulp connector on mobo, confirm mobo issue",Debug 2,"1. Verify previous repair action
2. Try new/golden Gulp
3. Visual inspection on Gulp connector on mobo, confirm mobo issue"
Lower critical limit violated,"Got 10 violations, exceeding threshold of 0 for sensor fan5 tach.",Repair 1,"1. Visual inspection for Gulp connector on mobo
2. Reseat Gulp",Repair 1,1. Replace Gulp,Debug 1,"1. Verify previous repair action
2. Try new/golden Gulp
3. Visual inspection on Gulp connector on mobo, confirm mobo issue",Debug 2,"1. Verify previous repair action
2. Try new/golden Gulp
3. Visual inspection on Gulp connector on mobo, confirm mobo issue",Debug 2,"1. Verify previous repair action
2. Try new/golden Gulp
3. Visual inspection on Gulp connector on mobo, confirm mobo issue"
Lower critical limit violated,"Got 11 violations, exceeding threshold of 0 for sensor RTC 3V.",Repair 1,"1. Visual inspection for Battery and battery holder
2. Reseat battery
3. Reseat agora",Repair 1,1. Replace RTC 3V battery,Debug 1,"1. Verify previous repair action
2. Verify battery voltage to be higher than 3VDC
3. Try new/golden agora",Debug 2,"1. Verify previous repair action
2. Verify battery voltage to be higher than 3VDC
3. Try new/golden agora
4. Discard short/open connection on mobo RTC circuitry",Debug 2,"1. Verify previous repair action
2. Verify battery voltage to be higher than 3VDC
3. Try new/golden agora
4. Discard short/open connection on mobo RTC circuitry"
Check boot number Failed,Send command '/usr/local/bin/gsys bootnum read' failed. Failure Info: Exception message: [Errno 104] Connection reset by peer,Retest,1. Retest,Retest,1. Retest,Debug 1,"1. Look for bad dimm on 'gsys event records list' response
1.1 If no error seen for dimm, retest for 2nd time
1.2 If error seen for dimm, replace dimm directly",Debug 2,1. Isolate for bad dimm,Debug 2,"1. Verify previous repair action
2. Confirm mobo issue"
pcierrors-high-lane_error-rate,"PCIe serial number: PDFQMB244502337, location: 0000:01:00.0, devpath: /phys/PE0/IO0:device:dna:lan pcie error, Error Types: 'LANE_ERROR' are exceeding thresholds.",Repair 2,1. Swap PCIe cable PE0 to PE1,Repair 2,"1. Failure following cable, replace PCIe cable
2. Failure following NIC/HB16, replace NIC/HB16
",Debug 1,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo"
pcierrors-high-lane_error-rate,"PCIe serial number: PDFCTH242301197, location: 0000:21:00.0, devpath: /phys/PE1/IO0:device:dna:lan pcie error, Error Types: 'LANE_ERROR' are exceeding thresholds.",Repair 2,1. Swap PCIe cable PE1 to PE0,Repair 2,"1. Failure following cable, replace PCIe cable
2. Failure following NIC/HB16, replace NIC/HB16
",Debug 1,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo"
